year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice
2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f72ca088929,ca,4,33248,gray,black,ahfc/honda lease trust/hvt  inc. eot,13700,14700
2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap5bc844861,ca,4,32485,black,black,nissan motor acceptance corporation,16950,19000
2011,BMW,3 Series,328i,Sedan,automatic,wbaph7c50be852309,ca,4,30889,white,black,financial services remarketing (lease),19900,21750
2011,BMW,3 Series,328i,Coupe,manual,wbake5c54be432253,ca,4,29992,white,black,financial services remarketing (lease),20600,22250
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er323280,ca,4,29558,black,black,enterprise holdings/gdp,16100,15500
2012,Mercedes-Benz,E-Class,E350,Coupe,automatic,wddkj5kb7cf139695,ca,4,28993,white,gray,mercedes-benz usa,29500,25500
2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f62ca033324,ca,4,28633,silver,black,ahfc/honda lease trust/hvt  inc. eot,13300,13600
2012,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd6cu201906,ca,4,28016,black,black,high bid trading co inc,17650,19100
2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv8cw412187,ca,4,26320,white,beige,nissan motor acceptance corporation,16150,16000
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er264085,ca,4,26182,white,beige,enterprise holdings/gdp,16550,15750
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg2er263486,ca,4,24951,White,black,enterprise holdings/gdp,16500,16300
2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap5dn426516,ca,4,24498,White,black,nissan-infiniti lt,14350,14500
2011,BMW,3 Series,328i xDrive,Sedan,automatic,wbapk5g5xbnn81193,ca,4,24304,black,beige,financial services remarketing (lease),21100,21750
2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7er291736,ca,4,24052,White,black,enterprise holdings/gdp,16700,15500
